session_date,direction,swept_level_name,swept_level_price,sweep_ts,target_gap_high,target_gap_low,target_gap_size,target_gap_formed_at,bars_to_inversion,entry_ts,entry_price,stop_price,tp_price,risk_points,exit_ts,exit_price,outcome,pnl_points,r_multiple
2026-03-04 00:00:00-05:00,short,london_high,24895.0,2026-03-04 09:54:00-05:00,24917.75,24901.25,16.5,2026-03-04 09:53:00-05:00,9,2026-03-04 10:03:00-05:00,24901.0,24922.75,24879.25,21.75,2026-03-04 10:04:00-05:00,24922.75,loss,-21.75,-1.0
2026-03-06 00:00:00-05:00,long,htf_fvg_4H_bullish_20260304_1200,24807.0,2026-03-06 10:06:00-05:00,24781.0,24772.0,9.0,2026-03-06 08:40:00-05:00,7,2026-03-06 10:13:00-05:00,24788.25,24767.0,24809.5,21.25,2026-03-06 10:14:00-05:00,24767.0,loss,-21.25,-1.0
2026-03-10 00:00:00-04:00,short,htf_fvg_1H_bearish_20260310_0900,24999.5,2026-03-10 09:42:00-04:00,24974.75,24967.75,7.0,2026-03-10 09:10:00-04:00,1,2026-03-10 09:43:00-04:00,24963.5,24979.75,24947.25,16.25,2026-03-10 09:44:00-04:00,24979.75,loss,-16.25,-1.0
2026-03-11 00:00:00-04:00,long,asia_low,24963.75,2026-03-11 10:34:00-04:00,24988.25,24974.5,13.75,2026-03-11 10:34:00-04:00,2,2026-03-11 10:36:00-04:00,25010.5,24969.5,25051.5,41.0,2026-03-11 10:44:00-04:00,25051.5,win,41.0,1.0
2026-03-12 00:00:00-04:00,long,asia_low,24695.5,2026-03-12 09:54:00-04:00,24693.0,24679.75,13.25,2026-03-12 09:54:00-04:00,6,2026-03-12 10:00:00-04:00,24698.25,24674.75,24721.75,23.5,2026-03-12 10:02:00-04:00,24721.75,win,23.5,1.0
2026-03-13 00:00:00-04:00,short,htf_fvg_1H_bearish_20260312_1100,24747.5,2026-03-13 09:55:00-04:00,24714.5,24704.5,10.0,2026-03-13 09:43:00-04:00,7,2026-03-13 10:02:00-04:00,24697.75,24719.5,24676.0,21.75,2026-03-13 10:04:00-04:00,24719.5,loss,-21.75,-1.0
2026-03-23 00:00:00-04:00,short,nwog_high,24493.25,2026-03-23 09:30:00-04:00,24464.25,24454.5,9.75,2026-03-23 08:18:00-04:00,5,2026-03-23 09:35:00-04:00,24452.75,24469.25,24436.25,16.5,2026-03-23 09:36:00-04:00,24469.25,loss,-16.5,-1.0
