session_date,direction,swept_level_name,swept_level_price,sweep_ts,target_gap_high,target_gap_low,target_gap_size,target_gap_formed_at,bars_to_inversion,entry_ts,entry_price,stop_price,tp_price,risk_points,exit_ts,exit_price,outcome,pnl_points,r_multiple
2026-03-04 00:00:00-05:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-03-04 10:36:00-05:00,25063.0,25052.5,10.5,2026-03-04 10:22:00-05:00,9,2026-03-04 10:45:00-05:00,25044.75,25068.0,25021.5,23.25,2026-03-04 10:50:00-05:00,25068.0,loss,-23.25,-1.0
2026-03-10 00:00:00-04:00,short,htf_fvg_1H_bearish_20260310_0900,24999.5,2026-03-10 09:42:00-04:00,24974.75,24967.75,7.0,2026-03-10 09:10:00-04:00,1,2026-03-10 09:43:00-04:00,24963.5,24979.75,24947.25,16.25,2026-03-10 09:44:00-04:00,24979.75,loss,-16.25,-1.0
2026-03-11 00:00:00-04:00,long,asia_low,24963.75,2026-03-11 10:34:00-04:00,24988.25,24974.5,13.75,2026-03-11 10:34:00-04:00,2,2026-03-11 10:36:00-04:00,25010.5,24969.5,25051.5,41.0,2026-03-11 10:44:00-04:00,25051.5,win,41.0,1.0
2026-03-12 00:00:00-04:00,long,london_low,24746.5,2026-03-12 09:31:00-04:00,24800.0,24787.5,12.5,2026-03-12 09:16:00-04:00,3,2026-03-12 09:34:00-04:00,24814.0,24782.5,24845.5,31.5,2026-03-12 09:42:00-04:00,24782.5,loss,-31.5,-1.0
2026-03-13 00:00:00-04:00,short,htf_fvg_1H_bearish_20260312_1100,24747.5,2026-03-13 09:55:00-04:00,24714.5,24704.5,10.0,2026-03-13 09:43:00-04:00,7,2026-03-13 10:02:00-04:00,24697.75,24719.5,24676.0,21.75,2026-03-13 10:04:00-04:00,24719.5,loss,-21.75,-1.0
2026-03-17 00:00:00-04:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-03-17 09:56:00-04:00,25095.25,25085.75,9.5,2026-03-17 09:47:00-04:00,1,2026-03-17 09:57:00-04:00,25080.0,25100.25,25059.75,20.25,2026-03-17 10:03:00-04:00,25059.75,win,20.25,1.0
2026-03-19 00:00:00-04:00,long,htf_fvg_1H_bullish_20260315_2000,24408.5,2026-03-19 09:46:00-04:00,24462.0,24443.75,18.25,2026-03-19 09:24:00-04:00,4,2026-03-19 09:50:00-04:00,24489.0,24438.75,24539.25,50.25,2026-03-19 10:11:00-04:00,24539.25,win,50.25,1.0
