session_date,direction,swept_level_name,swept_level_price,sweep_ts,target_gap_high,target_gap_low,target_gap_size,target_gap_formed_at,bars_to_inversion,entry_ts,entry_price,stop_price,tp_price,risk_points,exit_ts,exit_price,outcome,pnl_points,r_multiple
2026-03-11 00:00:00-04:00,long,asia_low,24963.75,2026-03-11 10:34:00-04:00,24988.25,24974.5,13.75,2026-03-11 10:34:00-04:00,2,2026-03-11 10:36:00-04:00,25010.5,24969.5,25051.5,41.0,2026-03-11 10:44:00-04:00,25051.5,win,41.0,1.0
2026-03-12 00:00:00-04:00,long,asia_low,24695.5,2026-03-12 09:47:00-04:00,24726.5,24708.5,18.0,2026-03-12 09:47:00-04:00,2,2026-03-12 09:49:00-04:00,24736.5,24703.5,24769.5,33.0,2026-03-12 09:52:00-04:00,24703.5,loss,-33.0,-1.0
2026-03-13 00:00:00-04:00,short,htf_fvg_1H_bearish_20260312_1100,24747.5,2026-03-13 09:55:00-04:00,24714.5,24704.5,10.0,2026-03-13 09:43:00-04:00,7,2026-03-13 10:02:00-04:00,24697.75,24719.5,24676.0,21.75,2026-03-13 10:04:00-04:00,24719.5,loss,-21.75,-1.0
