exec_tf,session_date,direction,swept_level_name,swept_level_price,swept_level_formed_at,sweep_ts,target_gap_high,target_gap_low,target_gap_size,target_gap_formed_at,bars_to_inversion,entry_ts,entry_price,stop_price,tp_price,risk_points,exit_ts,exit_price,outcome,pnl_points,r_multiple
3m,2026-03-05 00:00:00-05:00,short,htf_fvg_1H_bearish_20260305_0900,25073.25,2026-03-05 09:00:00-05:00,2026-03-05 09:33:00-05:00,25081.0,25071.25,9.75,2026-03-05 09:36:00-05:00,3,2026-03-05 09:42:00-05:00,25058.0,25086.0,25030.0,28.0,2026-03-05 09:45:00-05:00,25086.0,loss,-28.0,-1.0
2m,2026-03-06 00:00:00-05:00,long,htf_fvg_1H_bullish_20260304_0400,24611.5,2026-03-04 04:00:00-05:00,2026-03-06 09:36:00-05:00,24663.0,24653.25,9.75,2026-03-06 09:36:00-05:00,1,2026-03-06 09:38:00-05:00,24679.75,24648.25,24711.25,31.5,2026-03-06 09:40:00-05:00,24711.25,win,31.5,1.0
30s,2026-03-09 00:00:00-04:00,short,htf_fvg_4H_bearish_20260308_2100,24473.0,2026-03-08 21:00:00-04:00,2026-03-09 10:04:30-04:00,24453.0,24444.0,9.0,2026-03-09 10:04:30-04:00,2,2026-03-09 10:05:30-04:00,24382.5,24458.0,24307.0,75.5,2026-03-09 10:23:00-04:00,24458.0,loss,-75.5,-1.0
1m,2026-03-12 00:00:00-04:00,long,asia_low,24695.5,2026-03-11 23:45:00-04:00,2026-03-12 09:47:00-04:00,24726.5,24708.5,18.0,2026-03-12 09:47:00-04:00,2,2026-03-12 09:49:00-04:00,24736.5,24703.5,24769.5,33.0,2026-03-12 09:52:00-04:00,24703.5,loss,-33.0,-1.0
30s,2026-03-12 00:00:00-04:00,long,asia_low,24695.5,2026-03-11 23:45:00-04:00,2026-03-12 09:47:00-04:00,24661.5,24653.0,8.5,2026-03-12 09:56:00-04:00,26,2026-03-12 10:00:00-04:00,24698.5,24648.0,24749.0,50.5,2026-03-12 10:28:30-04:00,24648.0,loss,-50.5,-1.0
3m,2026-03-12 00:00:00-04:00,long,asia_low,24695.5,2026-03-11 23:45:00-04:00,2026-03-12 09:45:00-04:00,24691.5,24679.75,11.75,2026-03-12 09:54:00-04:00,5,2026-03-12 10:00:00-04:00,24725.0,24674.75,24775.25,50.25,2026-03-12 10:18:00-04:00,24674.75,loss,-50.25,-1.0
1m,2026-03-13 00:00:00-04:00,short,htf_fvg_4H_bearish_20260312_1700,24724.0,2026-03-12 17:00:00-04:00,2026-03-13 09:42:00-04:00,24762.5,24754.0,8.5,2026-03-13 09:45:00-04:00,8,2026-03-13 09:50:00-04:00,24737.5,24767.5,24707.5,30.0,2026-03-13 09:52:00-04:00,24767.5,loss,-30.0,-1.0
2m,2026-03-13 00:00:00-04:00,short,overnight_high,24738.0,2026-03-13 09:00:00-04:00,2026-03-13 09:42:00-04:00,24771.5,24754.0,17.5,2026-03-13 09:46:00-04:00,4,2026-03-13 09:50:00-04:00,24744.75,24776.5,24713.0,31.75,2026-03-13 09:52:00-04:00,24776.5,loss,-31.75,-1.0
30s,2026-03-13 00:00:00-04:00,short,overnight_high,24738.0,2026-03-13 09:00:00-04:00,2026-03-13 09:58:30-04:00,24751.75,24734.0,17.75,2026-03-13 09:44:00-04:00,2,2026-03-13 09:59:30-04:00,24726.0,24756.75,24695.25,30.75,2026-03-13 10:00:00-04:00,24756.75,loss,-30.75,-1.0
30s,2026-03-13 00:00:00-04:00,long,htf_fvg_1H_bullish_20260313_0800,24602.0,2026-03-13 08:00:00-04:00,2026-03-13 10:44:00-04:00,24571.25,24563.0,8.25,2026-03-13 10:47:00-04:00,8,2026-03-13 10:48:00-04:00,24573.75,24558.0,24589.5,15.75,2026-03-13 10:50:00-04:00,24589.5,win,15.75,1.0
2m,2026-03-16 00:00:00-04:00,short,htf_fvg_1H_bearish_20260311_1900,24932.25,2026-03-11 19:00:00-04:00,2026-03-16 09:56:00-04:00,24933.5,24921.75,11.75,2026-03-16 09:58:00-04:00,4,2026-03-16 10:04:00-04:00,24920.0,24938.5,24901.5,18.5,2026-03-16 10:06:00-04:00,24938.5,loss,-18.5,-1.0
1m,2026-03-17 00:00:00-04:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-02-26 16:00:00-05:00,2026-03-17 09:49:00-04:00,25095.25,25085.75,9.5,2026-03-17 09:47:00-04:00,8,2026-03-17 09:57:00-04:00,25080.0,25100.25,25059.75,20.25,2026-03-17 10:03:00-04:00,25059.75,win,20.25,1.0
2m,2026-03-17 00:00:00-04:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-02-26 16:00:00-05:00,2026-03-17 09:50:00-04:00,25097.75,25085.75,12.0,2026-03-17 09:48:00-04:00,3,2026-03-17 09:56:00-04:00,25080.0,25102.75,25057.25,22.75,2026-03-17 10:02:00-04:00,25057.25,win,22.75,1.0
30s,2026-03-17 00:00:00-04:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-02-26 16:00:00-05:00,2026-03-17 09:48:00-04:00,25104.75,25085.75,19.0,2026-03-17 09:46:30-04:00,8,2026-03-17 09:52:00-04:00,25081.5,25109.75,25053.25,28.25,2026-03-17 10:03:30-04:00,25053.25,win,28.25,1.0
3m,2026-03-17 00:00:00-04:00,short,htf_fvg_4H_bearish_20260226_1600,25099.0,2026-02-26 16:00:00-05:00,2026-03-17 09:51:00-04:00,25094.25,25074.75,19.5,2026-03-17 09:48:00-04:00,3,2026-03-17 10:00:00-04:00,25062.25,25099.25,25025.25,37.0,2026-03-17 10:12:00-04:00,25025.25,win,37.0,1.0
1m,2026-03-20 00:00:00-04:00,long,london_low,24319.0,2026-03-20 06:15:00-04:00,2026-03-20 09:57:00-04:00,24313.75,24297.5,16.25,2026-03-20 09:59:00-04:00,8,2026-03-20 10:05:00-04:00,24318.5,24292.5,24344.5,26.0,2026-03-20 10:07:00-04:00,24292.5,loss,-26.0,-1.0
2m,2026-03-20 00:00:00-04:00,long,london_low,24319.0,2026-03-20 06:15:00-04:00,2026-03-20 09:56:00-04:00,24313.75,24299.25,14.5,2026-03-20 10:00:00-04:00,4,2026-03-20 10:04:00-04:00,24318.5,24294.25,24342.75,24.25,2026-03-20 10:06:00-04:00,24294.25,loss,-24.25,-1.0
30s,2026-03-20 00:00:00-04:00,long,htf_fvg_1H_bullish_20260315_2000,24408.5,2026-03-15 20:00:00-04:00,2026-03-20 09:31:00-04:00,24422.25,24409.25,13.0,2026-03-20 09:31:30-04:00,21,2026-03-20 09:41:30-04:00,24432.0,24404.25,24459.75,27.75,2026-03-20 09:45:00-04:00,24459.75,win,27.75,1.0
1m,2026-03-23 00:00:00-04:00,short,htf_fvg_4H_bearish_20260318_2100,24644.25,2026-03-18 21:00:00-04:00,2026-03-23 10:18:00-04:00,24652.0,24644.0,8.0,2026-03-23 10:22:00-04:00,9,2026-03-23 10:27:00-04:00,24636.5,24657.0,24616.0,20.5,2026-03-23 10:30:00-04:00,24616.0,win,20.5,1.0
2m,2026-03-24 00:00:00-04:00,long,overnight_low,24193.5,2026-03-24 01:30:00-04:00,2026-03-24 09:58:00-04:00,24229.25,24212.25,17.0,2026-03-24 09:40:00-04:00,4,2026-03-24 10:06:00-04:00,24266.0,24207.25,24324.75,58.75,2026-03-24 10:12:00-04:00,24207.25,loss,-58.75,-1.0
30s,2026-03-24 00:00:00-04:00,long,asia_low,24193.5,2026-03-24 01:30:00-04:00,2026-03-24 09:40:30-04:00,24197.0,24183.25,13.75,2026-03-24 09:41:00-04:00,4,2026-03-24 09:42:30-04:00,24197.75,24178.25,24217.25,19.5,2026-03-24 09:43:30-04:00,24178.25,loss,-19.5,-1.0
30s,2026-03-25 00:00:00-04:00,short,htf_fvg_1H_bearish_20260323_1300,24465.5,2026-03-23 13:00:00-04:00,2026-03-25 09:30:00-04:00,24510.0,24502.0,8.0,2026-03-25 09:37:00-04:00,18,2026-03-25 09:39:00-04:00,24493.5,24515.0,24472.0,21.5,2026-03-25 09:40:30-04:00,24515.0,loss,-21.5,-1.0
5m,2026-03-25 00:00:00-04:00,short,htf_fvg_1H_bearish_20260323_1300,24465.5,2026-03-23 13:00:00-04:00,2026-03-25 09:30:00-04:00,24456.5,24449.5,7.0,2026-03-25 09:35:00-04:00,3,2026-03-25 09:45:00-04:00,24418.25,24461.5,24375.0,43.25,2026-03-25 09:50:00-04:00,24375.0,win,43.25,1.0
