exec_tf,session_date,direction,swept_level_name,swept_level_price,swept_level_formed_at,sweep_ts,target_gap_high,target_gap_low,target_gap_size,target_gap_formed_at,bars_to_inversion,entry_ts,entry_price,stop_price,tp_price,risk_points,exit_ts,exit_price,outcome,pnl_points,r_multiple
1m,2026-03-02 00:00:00-05:00,short,overnight_high,24901.25,2026-03-01 20:45:00-05:00,2026-03-02 10:23:00-05:00,24872.75,24863.75,9.0,2026-03-02 10:02:00-05:00,9,2026-03-02 10:32:00-05:00,24849.25,24877.75,24820.75,28.5,2026-03-02 10:34:00-05:00,24877.75,loss,-28.5,-1.0
2m,2026-03-03 00:00:00-05:00,long,london_low,24370.0,2026-03-03 06:30:00-05:00,2026-03-03 10:24:00-05:00,24427.5,24416.25,11.25,2026-03-03 10:22:00-05:00,3,2026-03-03 10:30:00-05:00,24428.0,24411.25,24444.75,16.75,2026-03-03 10:32:00-05:00,24411.25,loss,-16.75,-1.0
30s,2026-03-03 00:00:00-05:00,long,london_low,24370.0,2026-03-03 06:30:00-05:00,2026-03-03 10:25:30-05:00,24396.5,24387.0,9.5,2026-03-03 10:25:30-05:00,11,2026-03-03 10:31:00-05:00,24415.5,24382.0,24449.0,33.5,2026-03-03 10:36:30-05:00,24449.0,win,33.5,1.0
1m,2026-03-04 00:00:00-05:00,short,htf_fvg_1H_bearish_20260226_1200,25085.5,2026-02-26 12:00:00-05:00,2026-03-04 10:24:00-05:00,25112.25,25095.0,17.25,2026-03-04 10:27:00-05:00,15,2026-03-04 10:39:00-05:00,25082.25,25117.25,25047.25,35.0,2026-03-04 10:45:00-05:00,25047.25,win,35.0,1.0
30s,2026-03-04 00:00:00-05:00,short,htf_fvg_1H_bearish_20260302_2200,24883.25,2026-03-02 22:00:00-05:00,2026-03-04 09:46:30-05:00,24909.0,24901.25,7.75,2026-03-04 09:52:30-05:00,25,2026-03-04 09:59:00-05:00,24896.0,24914.0,24878.0,18.0,2026-03-04 09:59:30-05:00,24914.0,loss,-18.0,-1.0
3m,2026-03-04 00:00:00-05:00,short,overnight_high,24930.25,2026-03-04 08:15:00-05:00,2026-03-04 09:30:00-05:00,24889.0,24871.0,18.0,2026-03-04 09:33:00-05:00,3,2026-03-04 09:39:00-05:00,24851.0,24894.0,24808.0,43.0,2026-03-04 09:45:00-05:00,24894.0,loss,-43.0,-1.0
5m,2026-03-04 00:00:00-05:00,short,htf_fvg_1H_bearish_20260226_1200,25085.5,2026-02-26 12:00:00-05:00,2026-03-04 10:20:00-05:00,25112.5,25093.75,18.75,2026-03-04 10:30:00-05:00,3,2026-03-04 10:35:00-05:00,25082.25,25117.5,25047.0,35.25,2026-03-04 10:45:00-05:00,25047.0,win,35.25,1.0
1m,2026-03-05 00:00:00-05:00,short,6am_high,25157.75,2026-03-05 07:30:00-05:00,2026-03-05 10:07:00-05:00,25164.25,25156.0,8.25,2026-03-05 10:14:00-05:00,9,2026-03-05 10:16:00-05:00,25137.25,25169.25,25105.25,32.0,2026-03-05 10:19:00-05:00,25105.25,win,32.0,1.0
2m,2026-03-05 00:00:00-05:00,short,htf_fvg_1H_bearish_20260305_0900,25073.25,2026-03-05 09:00:00-05:00,2026-03-05 09:32:00-05:00,25075.25,25059.75,15.5,2026-03-05 09:34:00-05:00,6,2026-03-05 09:44:00-05:00,25044.5,25080.25,25008.75,35.75,2026-03-05 09:46:00-05:00,25080.25,loss,-35.75,-1.0
30s,2026-03-05 00:00:00-05:00,short,6am_high,25157.75,2026-03-05 07:30:00-05:00,2026-03-05 10:05:00-05:00,25176.75,25168.25,8.5,2026-03-05 09:58:30-05:00,1,2026-03-05 10:05:30-05:00,25163.75,25181.75,25145.75,18.0,2026-03-05 10:07:30-05:00,25145.75,win,18.0,1.0
